name,bytes,sha256
ALL_SESSION_PROVENANCE_TRANCHE_INDEX.json,3080,F331F9A8D223035FACF06C02ADA19E8818FBF9C8A9DC3BD300A80440E05BD98F
ALL_SESSION_PROVENANCE_TRANCHE_README.md,1105,3FD68F4D045846EB6725ECF05DAAADBC6B65723C8D83D586BAAB4775FE4E2EB1
ARCHIVE_PROACTIVE_PRIVACY_AND_SUBSTANTIVE_UPDATE_REQUIREMENT_20260802.md,3818,098B41A98D9BE38E67316F5F34E4E2FE8F72613231268FC66C07801809C8613E
D001__LOGBOOK.md,1575,98505A953B9FE8486DDEFE66308DC0E0CD27466235A319768D369923D547C9E5
D002__LOGBOOK.md,1252,694D7CE48CFFE99F052AF544172161C53499DC25BE20097148BE69A261B4F14C
D003__LOGBOOK.md,1264,53F7A993E9ED15C4B772BF01B072A6529E179E778D50FAAF351F8929BAB23201
D004__LOGBOOK.md,1023,4666538CFDDCD07EAA0E11B5C9F10BAAD49CCA7848C08B327743E9A6F6063760
D005_R1__LOGBOOK.md,9645,3A59073CDFF06327BB93CB8ED6DF95865AB7C1BF98D27EF7FA6E48A8BC7B6570
D005_R2__LOGBOOK.md,6783,8EEBBB56CB5EF3FBD95C884A94196210A4622169CEFA748C2CC15AFCC40184A7
D006__LOGBOOK.md,33089,DA96A76D6109AD6403696DA2A988CA49B1B1B6B0C8DD258F5640F13B178E92C6
D006__LOGBOOK_RECOVERED_FROM_THREAD_HISTORY_20260802.md,30929,C7B1AFA3EA08609D1BF8914025D386F75CD0D05A4942FDF7C980F388F786A487
D006__controls__LOGBOOK_STATUS_NUL_CORRUPTION_AND_RECOVERY_20260802.md,2106,57246BB6089EC2AC5D5EA31E85841871FE7189F5BE1D50A82128D75A3542FB09
D007__LOGBOOK.md,6008,BDB266852EB273A1F51F3BC5E36A057EC464440CE2BDF8E51F818DC2DB48E7BB
DELIGNE__COMPLETE_PROVENANCE.zip,110104,D1F9036FA703BBE800F5BF410D76FA751E25A8BAB1AA58F53F6EF92CFFA65864
DELIGNE__COMPLETE_PROVENANCE_MANIFEST.csv,20148,27A09AE69B08B599827F7E42B97763D55B3076181116840ABE87AF6134F137BB
EGA_EN__LOGBOOK.md,69660,786A2C5B78B582B52571238FABA871D79AAF692754E678BBEC7594BF4BF98ABC
EGA_EN__STATUS.md,44727,435CFCCC359222C680BD935CE9A731721E5865A424506F2439183A9FD2169714
EGA_FR__CONTINUATION_HANDOFF.md,61255,52EC82B5E4ACD052C19A3AD7ABF16132A58992208ED73A8BFD58B40B3461B11D
EGA_FR__LOGBOOK.md,239541,6B4AC7030DB93D3E133D71841A8442671AEB55FA1D710CBD118D44E8BBC283D2
EGA_FR__STATUS.md,160189,DB789C9103111191A5490D8074475952E5AD6B0C8B77DB6AF8F3B385EDC43A75
EGA__COMPLETE_PROVENANCE.zip,1064877,FD65F3A6C2B208450FDC37A9CA5A3EEB4AD1BDC95906F758241C95E614E6D61F
EGA__COMPLETE_PROVENANCE_MANIFEST.csv,143165,89E68A7EFB35DF39A894219D7C806071345A1F99C29AEF36951C6CCE3B21A7C8
ENGLISH_GERMANIC_DECISION_LOG_v1.jsonl,3117178,2D37C81A22027D263B6D69A7636F0D77B893F16FE8CB7AD9DF7725A34C669A6F
FAC__COMPLETE_PROVENANCE.zip,293174,9F72B32A6A4D1EA2496E68F64C0DD5D8A57582C5CFD5CB0E3A9C3422350DB284
FAC__COMPLETE_PROVENANCE_MANIFEST.csv,6956,76D895F1F664BC008A89AD0A308E42905012E44D2062BC078B2EC191ED5841C3
FAC__EDITORIAL_DECISION_LOGBOOK.md,121736,BE30F8D0B4391B848921D0566D1222FDA9649AD60516EA4C1B8EC8FBDD67AB03
FAC__LOGBOOK.md,153479,BFA1530DD3BEC8AA81CC519F98AB62EAB09BB8783E83B1D54FC62DC59060FC26
FAC__STATUS.md,67907,04A4858F6781289605DEC6B2C964734A987B2691CC6D78C029B9A5D7DD399641
PROJECT_LOGBOOK_METHODOLOGY_REPLICATION_DOI_REQUIREMENT_20260802.md,2242,864DC6B0183161DFA289D6A25DDE268D09E5187C3C4102C854F05422B86DF2AA
SGA7II__LOGBOOK.md,152783,E6FDC8DBFA274CFEA8772795E64E565E97A0AA7ED563AB452F9741710F571798
SGA7I__FRENCH_SOURCE_CORRECTION_LOGBOOK.md,10362,673E3ED29048EB9894ACD318C049C84DDCAC3497EE300B85C8A92D932FFF0961
SGA7__COMPLETE_PROVENANCE.zip,211281,D3E68167381EF7BDFC5B42D8B967D14395AC60F463E3FAB22FF41CA5EA21E902
SGA7__COMPLETE_PROVENANCE_MANIFEST.csv,6005,B3CAFB57CB12D5EC54075FA3261724D6643B3AD8A3B75763EEFC8E5877C5093D
